date,action,symbol,price,shares
2025-11-11,SELL,MU,252.6205,6603.2797
2025-11-12,BUY,LITE,261.597,6366.491
2025-12-09,SELL,WDC,169.6551,9868.5499
2025-12-10,BUY,WBD,28.2076,59259.6023
2025-12-23,SELL,WBD,28.7767,59259.6023
2025-12-24,BUY,WDC,177.733,9579.355
2026-01-06,SELL,WDC,187.658,9579.355
2026-01-07,BUY,MU,344.2828,5213.0594
2026-01-13,SELL,MU,345.3113,5213.0594
2026-01-14,BUY,WDC,213.6989,8410.1903
2026-01-21,SELL,WDC,222.6854,8410.1903
2026-01-22,BUY,MU,391.1124,4780.8008
2026-01-27,SELL,LITE,339.49,6366.491
2026-01-28,BUY,WDC,252.6205,8542.0725
2026-02-10,SELL,MU,382.1858,4780.8008
2026-02-11,BUY,LITE,560.3881,3255.2994
2026-03-03,SELL,WDC,270.1499,8542.0725
2026-03-04,BUY,MU,377.0,6111.2699
2026-03-23,SELL,SNDK,717.0,10149.5987
2026-03-23,SELL,LITE,739.01,3255.2994
2026-03-23,SELL,MU,413.25,6111.2699
2026-04-15,BUY,SNDK,934.4199,4348.1236
2026-04-15,BUY,LITE,854.0,4757.5798
2026-04-15,BUY,WDC,363.5,11177.3678
2026-05-12,SELL,WDC,513.17,11177.3678
2026-05-13,BUY,INTC,120.31,47599.6818
