date,action,symbol,price,shares
2025-11-18,SELL,LITE,243.634,6006.1029
2025-12-03,BUY,SNDK,196.1054,9163.027
2025-12-03,BUY,LITE,304.1232,5908.5235
2025-12-03,BUY,WDC,159.76,11247.6157
2025-12-09,SELL,WDC,169.6551,11247.6157
2025-12-10,BUY,WBD,28.2076,67540.7572
2025-12-16,SELL,SNDK,202.1762,9163.027
2025-12-16,SELL,LITE,319.52,5908.5235
2025-12-16,SELL,WBD,29.5655,67540.7572
2025-12-24,BUY,SNDK,246.1602,7756.6497
2025-12-24,BUY,LITE,385.5409,4952.4666
2025-12-24,BUY,WDC,177.733,10742.9596
2026-01-06,SELL,WDC,187.658,10742.9596
2026-01-07,BUY,MU,344.2828,5846.2906
2026-01-13,SELL,MU,345.3113,5846.2906
2026-01-14,BUY,WDC,213.6989,9431.7786
2026-01-21,SELL,SNDK,460.1887,7756.6497
2026-01-21,SELL,LITE,369.2653,4952.4666
2026-01-21,SELL,WDC,222.6854,9431.7786
2026-01-28,BUY,SNDK,499.4696,4996.3814
2026-01-28,BUY,MU,410.763,6075.3783
2026-01-28,BUY,WDC,252.6205,9878.6148
2026-02-10,SELL,SNDK,589.3147,4996.3814
2026-02-10,SELL,MU,382.1858,6075.3783
2026-02-10,SELL,WDC,285.0417,9878.6148
2026-04-15,BUY,SNDK,934.4199,2878.5254
2026-04-15,BUY,LITE,854.0,3149.5918
2026-04-15,BUY,WDC,363.5,7399.5913
2026-05-12,SELL,WDC,513.17,7399.5913
2026-05-13,BUY,INTC,120.31,31511.7241
