symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held,status,entry_amt5k,exit_amt5k,pnl5k
MSTR,2024-10-09,188.9661,3791.0327,2024-12-31,315.0666,478051.12,66.73,51,closed,3581.8833214573506,5972.138916389101,2390.2556
TSLA,2025-01-02,389.5946,3060.9157,2025-01-07,405.5209,48749.06,4.09,3,closed,5962.5811388761,6206.326447440651,243.7453
MSTR,2025-01-08,331.0027,3744.0143,2025-02-25,266.3299,-242135.89,-19.54,31,closed,6196.394210693049,4985.71477058785,-1210.67945
SHOP,2025-02-26,111.2528,8948.5102,2025-03-04,103.2548,-71570.18,-7.19,4,closed,4977.7340778928,4619.883154994801,-357.85089999999997
TMUS,2025-03-05,260.7781,3537.4805,2025-03-11,258.3818,-8476.86,-0.92,4,closed,4612.48721788525,4570.1028952745,-42.3843
MSTR,2025-05-14,419.3799,2574.8308,2025-05-28,368.9058,-129962.27,-12.04,9,closed,5399.161417104601,4749.350080693201,-649.8113500000001
APP,2025-05-14,371.9412,2903.2338,2025-06-10,387.9272,46411.1,4.3,18,closed,5399.1613172627995,5631.2167948968,232.0555
PLTR,2025-05-14,128.7166,8389.2231,2025-08-26,156.0455,229268.24,21.23,69,closed,5399.161370367299,6545.50256625525,1146.3412
AVGO,2025-05-29,245.0918,3869.3642,2025-06-17,250.4437,20708.45,2.18,13,closed,4741.7471831678,4845.2894344777005,103.54225000000001
ZS,2025-06-11,296.5545,3791.6836,2025-07-08,316.2249,74583.93,6.63,15,closed,5622.204170781,5995.1238362082,372.91965
CRWD,2025-06-18,488.616,1980.0961,2025-06-24,491.262,5239.33,0.54,3,closed,4837.533179988,4863.729851391,26.19665
AVGO,2025-06-25,265.2714,3661.1139,2025-07-01,273.6888,30817.06,3.17,3,closed,4855.944049062301,5010.0293497716,154.08530000000002
CRWD,2025-07-02,488.4662,2048.0474,2025-07-08,506.2395,36400.56,3.64,2,closed,5002.0096544894,5184.0124587615,182.00279999999998
AVGO,2025-07-09,273.2095,4085.2328,2025-07-15,279.2205,24556.33,2.2,4,closed,5580.622053358001,5703.403725162001,122.78165000000001
MU,2025-07-09,124.8923,8936.6951,2025-07-22,112.7506,-108506.67,-9.72,9,closed,5580.622027188651,5038.088672710301,-542.53335
MSTR,2025-07-16,446.5292,2550.4606,2025-07-22,428.5661,-45814.18,-4.02,4,closed,5694.275656747601,5465.204762728301,-229.0709
WBD,2025-07-23,12.8806,81412.9893,2025-08-05,12.8806,0.0,0.0,9,closed,5243.2407498879,5243.2407498879,0.0
AMD,2025-07-23,156.4449,6702.9871,2025-09-09,150.8334,-37613.81,-3.59,33,closed,5243.24073280395,5055.1716722457,-188.06905
NVDA,2025-08-06,176.7844,5922.2966,2025-09-03,169.9047,-40743.62,-3.89,19,closed,5234.848255265199,5031.1301356701,-203.71810000000002
SHOP,2025-08-27,141.9667,9206.424,2025-09-03,139.4804,-22889.93,-1.75,4,closed,6535.028170404002,6420.578510448002,-114.44965
PLTR,2025-09-04,154.5678,7397.0003,2025-09-09,155.736,8641.18,0.76,3,closed,5716.6903148517,5759.896193603999,43.2059
GOOGL,2025-09-04,231.0928,4947.5278,2025-09-16,251.0229,98604.72,8.62,8,closed,5716.690261899201,6209.7138809331,493.02360000000004
AVGO,2025-09-10,338.6213,3188.7414,2025-09-23,338.6912,222.89,0.02,9,closed,5398.878791159101,5399.993256278401,1.11445
APP,2025-09-10,564.3121,1913.4372,2025-10-07,593.8578,56533.84,5.24,19,closed,5398.8788227506,5681.5480301508005,282.6692
WBD,2025-09-17,18.1527,68306.933,2025-10-07,18.9914,57289.02,4.62,14,closed,6199.7763133455,6486.221436881001,286.44509999999997
WDC,2025-09-24,110.5738,9751.5871,2025-12-09,169.6551,576136.44,53.43,52,closed,5391.350208389901,8272.03242304605,2880.6821999999997
MU,2025-10-08,186.1803,6525.0172,2025-11-11,252.6205,433523.45,35.69,23,closed,6074.1482990058,8241.765537863,2167.6172500000002
SNDK,2025-10-08,121.128,10029.305,2026-03-24,689.0,5695361.5,468.82,111,closed,6074.1482802,34550.955725,28476.8075
LITE,2025-11-12,261.597,6291.0349,2026-01-27,339.49,490027.58,29.78,49,closed,8228.5792836765,10678.717191005,2450.1379
WBD,2025-12-10,28.2076,58557.2521,2025-12-23,28.7767,33324.93,2.02,8,closed,8258.797721679799,8425.42238253035,166.62465
WDC,2025-12-24,177.733,9465.8195,2026-01-06,187.658,93948.26,5.58,7,closed,8411.9424859675,8881.683778655,469.74129999999997
MU,2026-01-07,344.2828,5151.2736,2026-01-13,345.3113,5298.08,0.3,4,closed,8867.4744928704,8893.964917358402,26.4904
WDC,2026-01-14,213.6989,8310.5116,2026-01-21,222.6854,74682.41,4.21,4,closed,8879.7359367862,9253.1479992532,373.41205
MU,2026-01-22,391.1124,4724.138,2026-02-10,382.1858,-42170.49,-2.28,12,closed,9238.344755556,9027.492304202,-210.85245
WDC,2026-01-28,252.6205,8440.8311,2026-03-03,270.1499,147962.7,6.94,22,closed,10661.634864487749,11401.44838790945,739.8135000000001
LITE,2026-02-11,560.3881,3216.7171,2026-03-24,730.8901,548456.7,30.43,28,closed,9013.04991953255,11755.33341445355,2742.2835
MU,2026-03-04,377.0,6038.8386,2026-03-24,403.8501,162143.42,7.12,14,closed,11383.210761,12193.9278624693,810.7171000000001
WDC,2026-04-15,363.5,10711.9049,2026-05-12,513.17,1603250.81,41.17,19,closed,19468.88715575,27485.141187664998,8016.2540500000005
LITE,2026-04-15,854.0,4559.4583,2026-05-27,898.88,204628.49,5.26,29,closed,19468.886941,20492.029383520003,1023.1424499999999
INTC,2026-05-13,120.31,45617.4717,2026-06-02,108.85,-522776.23,-9.53,13,closed,27441.190101135002,24827.308972724997,-2613.88115
MU,2026-05-28,931.12,4394.5482,2026-06-16,1080.64,657072.85,16.06,13,closed,20459.258599920002,23744.622834240003,3285.36425
ARM,2026-06-03,404.02,12270.4852,2026-06-09,348.75,-678189.71,-13.68,4,closed,24787.60715252,21396.6585675,-3390.94855
ARM,2026-06-17,395.11,12000.0262,2026-06-23,407.82,152520.33,3.22,4,closed,23706.651759410004,24469.25342442,762.60165
