symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
FANG,2021-04-01,81.22,15.4075,2021-06-01,86.61,83.05,6.64,41
STX,2021-06-01,98.25,140.8847,2021-07-01,86.62,-1638.49,-11.84,22
FTNT,2021-06-01,42.998,21.5162,2021-07-01,48.468,117.69,12.72,22
FANG,2021-04-01,81.22,13.6345,2021-07-01,99.6,250.6,22.63,63
FTNT,2021-06-01,42.998,51.3953,2021-08-02,56.924,715.73,32.39,43
FANG,2021-04-01,81.22,146.1845,2021-08-02,76.75,-653.44,-5.5,84
NVDA,2021-07-01,20.212,2.6636,2021-08-02,19.75,-1.23,-2.29,21
DXCM,2021-08-02,127.8375,110.8795,2021-09-01,136.23,930.56,6.56,22
NVDA,2021-07-01,20.212,26.247,2021-09-01,22.441,58.5,11.03,43
FTNT,2021-06-01,42.998,251.5136,2021-10-01,59.6,4175.63,38.61,86
DDOG,2021-09-01,135.77,8.6747,2021-10-01,144.69,77.38,6.57,21
NVDA,2021-07-01,20.212,691.4523,2021-10-01,20.742,366.47,2.62,64
DXCM,2021-10-01,137.48,111.1521,2021-11-01,156.8175,2149.4,14.07,21
PANW,2021-10-01,81.085,188.4588,2021-11-01,84.7183,684.73,4.48,21
DDOG,2021-09-01,135.77,3.1215,2021-11-01,165.2,91.87,21.68,42
DDOG,2021-09-01,135.77,102.4917,2021-12-01,164.53,2947.66,21.18,63
APP,2021-11-01,99.49,170.1843,2021-12-01,86.13,-2273.66,-13.43,21
TSLA,2021-11-01,402.8633,2.9758,2022-01-03,399.9267,-8.74,-0.73,43
NVDA,2021-12-01,31.435,496.3365,2022-01-03,30.121,-652.19,-4.18,22
AMD,2021-12-01,149.11,105.8654,2022-02-01,116.78,-3422.63,-21.68,42
TSLA,2021-11-01,402.8633,39.7703,2022-02-01,310.4167,-3676.64,-22.95,63
MRVL,2022-01-03,89.43,177.8511,2022-02-01,72.42,-3025.25,-19.02,20
