symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held,cap_tag,pnl_pct
NVDA,2024-01-22,59.5655,539.6911,2024-02-05,69.207,5203.43,16.19,10,mega,16.19
UBER,2023-11-27,55.9659,8036.2095,2024-02-05,68.8865,103832.65,23.09,42,mega,23.09
NVDA,2024-01-22,59.5655,204.0839,2024-02-12,72.1476,2567.8,21.12,15,mega,21.12
META,2024-02-05,458.8906,5.2497,2024-02-12,468.3165,49.48,2.05,5,mega,2.05
META,2024-02-05,458.8906,34.4669,2024-02-20,470.7628,409.2,2.59,10,mega,2.59
AMD,2023-12-26,143.2348,3307.1032,2024-02-20,165.4315,73406.78,15.5,35,mega,15.5
NVDA,2024-01-22,59.5655,548.6695,2024-02-26,78.9694,10646.33,32.58,24,mega,32.58
NVDA,2024-01-22,59.5655,193.6785,2024-03-04,85.0902,4943.59,42.85,29,mega,42.85
META,2024-02-05,458.8906,1222.8303,2024-03-04,497.4627,47167.13,8.41,19,mega,8.41
NVDA,2024-01-22,59.5655,230.2131,2024-03-11,85.6364,6001.86,43.77,34,mega,43.77
NVDA,2024-01-22,59.5655,280.9986,2024-03-18,88.3253,8081.46,48.28,39,mega,48.28
UBER,2024-02-20,76.4951,7779.7363,2024-03-18,75.5765,-7146.47,-1.2,19,mega,-1.2
NVDA,2024-01-22,59.5655,423.2665,2024-03-25,94.9004,14956.08,59.32,44,mega,59.32
META,2024-03-18,496.3743,5.5654,2024-03-25,502.1756,32.29,1.17,5,mega,1.17
AMD,2024-03-04,205.1119,3127.4877,2024-03-25,178.3321,-83753.5,-13.06,15,mega,-13.06
MU,2024-03-25,116.9543,316.9126,2024-04-01,124.1235,2272.01,6.13,4,mega,6.13
META,2024-03-18,496.3743,1194.2316,2024-04-01,490.7528,-6713.37,-1.13,9,mega,-1.13
NVDA,2024-01-22,59.5655,36.0993,2024-04-08,87.0243,991.24,46.1,53,mega,46.1
MU,2024-03-25,116.9543,144.0466,2024-04-08,122.8155,844.29,5.01,9,mega,5.01
AMD,2024-04-01,183.0251,3262.6107,2024-04-08,169.5952,-43816.54,-7.34,5,mega,-7.34
NVDA,2024-01-22,59.5655,56.0344,2024-04-15,85.881,1474.57,44.18,58,mega,44.18
MU,2024-03-25,116.9543,40.6938,2024-04-15,121.2279,173.91,3.65,14,mega,3.65
META,2024-04-08,518.5011,1105.4092,2024-04-15,499.3499,-21169.91,-3.69,5,mega,-3.69
MU,2024-03-25,116.9543,4626.1104,2024-04-22,108.9463,-37045.89,-6.85,19,mega,-6.85
GEV,2024-04-15,131.6223,345.3426,2024-04-22,136.4151,1655.16,3.64,5,mega,3.64
NVDA,2024-01-22,59.5655,141.4647,2024-04-29,87.6483,3972.72,47.15,67,mega,47.15
GEV,2024-04-15,131.6223,274.8768,2024-04-29,158.6916,7440.72,20.57,9,mega,20.57
WFC,2024-04-22,61.0183,8753.5178,2024-04-29,59.7003,-11537.14,-2.16,4,mega,-2.16
GEV,2024-04-15,131.6223,31.9358,2024-05-06,168.7365,1185.27,28.2,14,mega,28.2
MU,2024-04-29,114.0886,184.1669,2024-05-13,122.8155,1607.21,7.65,9,mega,7.65
GEV,2024-04-15,131.6223,3608.6247,2024-05-13,161.2178,106799.05,22.49,18,mega,22.49
QCOM,2024-05-13,183.9636,52.6503,2024-05-20,197.5033,712.87,7.36,4,mega,7.36
NVDA,2024-01-22,59.5655,559.7326,2024-05-28,113.9398,30435.07,91.28,84,mega,91.28
NVDA,2024-01-22,59.5655,172.3981,2024-06-03,114.8175,9525.34,92.76,88,mega,92.76
NVDA,2024-01-22,59.5655,90.6059,2024-06-10,121.5274,5614.11,104.02,93,mega,104.02
MU,2024-04-29,114.0886,51.6225,2024-06-10,134.6577,1061.83,18.03,26,mega,18.03
MU,2024-04-29,114.0886,83.0655,2024-06-17,147.4185,2768.57,29.21,31,mega,29.21
MU,2024-04-29,114.0886,144.6675,2024-06-24,138.7416,3566.49,21.61,35,mega,21.61
QCOM,2024-05-13,183.9636,3475.3841,2024-06-24,200.1893,56390.54,8.82,26,mega,8.82
NVDA,2024-01-22,59.5655,245.107,2024-07-01,124.1235,15823.62,108.38,107,mega,108.38
MU,2024-04-29,114.0886,5085.3579,2024-07-01,131.3427,87743.27,15.12,40,mega,15.12
AVGO,2024-06-24,159.0041,90.1948,2024-07-01,163.781,430.85,3.0,5,mega,3.0
AVGO,2024-06-24,159.0041,129.9281,2024-07-08,174.1983,1974.15,9.56,9,mega,9.56
LLY,2024-07-01,912.5791,802.6298,2024-07-15,948.665,28963.62,3.95,9,mega,3.95
TSLA,2024-07-15,252.1113,85.6025,2024-07-22,251.1827,-79.49,-0.37,5,mega,-0.37
TSLA,2024-07-15,252.1113,8.6274,2024-07-29,231.5921,-177.03,-8.14,10,mega,-8.14
AVGO,2024-06-24,159.0041,4441.5801,2024-07-29,149.9048,-40415.27,-5.72,24,mega,-5.72
NVDA,2024-01-22,59.5655,22.7309,2024-08-05,100.0996,921.38,68.05,131,mega,68.05
GS,2024-07-29,491.8811,1335.0846,2024-08-05,457.992,-45244.81,-6.89,5,mega,-6.89
TSLA,2024-07-15,252.1113,2835.6013,2024-08-05,198.1124,-153119.35,-21.42,15,mega,-21.42
NVDA,2024-01-22,59.5655,302.2643,2024-08-12,108.8665,14901.93,82.77,136,mega,82.77
UNH,2024-08-05,568.7456,1032.4763,2024-08-12,564.2124,-4680.42,-0.8,5,mega,-0.8
