symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
ARM,2024-04-01,126.91,5954.8835,2024-05-01,95.29,-188293.43,-24.92,22
NVDA,2024-02-01,63.027,1397.1308,2024-05-01,83.041,27962.18,31.75,62
MSTR,2024-03-01,107.939,706.8121,2024-06-03,162.741,38734.71,50.77,64
APP,2024-05-01,69.74,8294.7947,2024-06-03,82.7,107500.53,18.58,22
NVDA,2024-02-01,63.027,5.2042,2024-06-03,115.0,270.48,82.46,84
MSTR,2024-03-01,107.939,4918.9374,2024-07-01,136.597,140966.9,26.55,83
INSM,2024-06-03,55.94,1822.9195,2024-07-01,66.34,18958.36,18.59,19
NVDA,2024-02-01,63.027,296.4081,2024-07-01,124.3,18161.81,97.22,103
INSM,2024-06-03,55.94,2305.7019,2024-08-01,75.33,44707.57,34.66,41
ARM,2024-07-01,158.83,5215.6796,2024-08-01,121.51,-194649.16,-23.5,22
NVDA,2024-02-01,63.027,6664.5727,2024-08-01,109.21,307789.95,73.27,125
MSTR,2024-08-01,151.181,5073.2475,2024-09-03,122.32,-146419.0,-19.09,22
INSM,2024-06-03,55.94,682.4248,2024-09-03,73.31,11853.72,31.05,63
ALNY,2024-08-01,268.61,111.3186,2024-09-03,253.78,-1650.85,-5.52,22
PLTR,2024-09-03,30.51,1971.8236,2024-10-01,36.46,11732.35,19.5,20
ALNY,2024-08-01,268.61,2744.043,2024-10-01,276.06,20443.15,2.77,42
PLTR,2024-09-03,30.51,678.0429,2024-11-01,41.92,7736.47,37.4,43
INSM,2024-06-03,55.94,10432.1876,2024-11-01,68.32,129150.49,22.13,106
APP,2024-10-01,130.65,647.629,2024-11-01,163.53,21294.05,25.17,23
APP,2024-10-01,130.65,767.9337,2024-12-02,340.59,161219.99,160.69,43
PLTR,2024-09-03,30.51,3145.1733,2025-01-02,75.19,140526.35,146.44,84
APP,2024-10-01,130.65,125.5665,2025-01-02,341.78,26510.85,161.6,64
MSTR,2024-11-01,229.71,184.272,2025-02-03,347.09,21629.84,51.1,61
PLTR,2024-09-03,30.51,9.1692,2025-02-03,83.74,488.08,174.47,104
MSTR,2024-11-01,229.71,4689.5977,2025-03-03,250.92,99466.33,9.23,80
PLTR,2024-09-03,30.51,2252.9466,2025-03-03,83.42,119203.4,173.42,123
APP,2024-10-01,130.65,204.5419,2025-03-03,337.34,42276.76,158.2,103
APP,2024-10-01,130.65,4249.5749,2025-04-01,282.7,646147.94,116.38,124
PLTR,2024-09-03,30.51,17184.7471,2025-04-01,84.68,930897.75,177.55,144
GILD,2025-03-03,115.99,12359.2689,2025-04-01,111.28,-58212.15,-4.06,21
AXON,2025-06-02,758.57,1769.2849,2025-07-01,775.38,29741.68,2.22,20
AVGO,2025-06-02,248.71,5396.3509,2025-07-01,264.74,86503.42,6.45,20
PLTR,2025-06-02,132.04,290.7185,2025-08-01,154.27,6462.68,16.84,42
WDC,2025-07-01,63.84,919.5579,2025-08-01,76.55,11687.58,19.91,22
STX,2025-07-01,145.04,9481.4759,2025-08-01,154.81,92634.06,6.74,22
PLTR,2025-06-02,132.04,10232.6461,2025-09-02,157.09,256327.82,18.97,63
WDC,2025-07-01,63.84,20621.6889,2025-09-02,81.91,372633.99,28.31,43
AMD,2025-08-01,171.7,9193.8869,2025-09-02,162.32,-86238.56,-5.46,21
LITE,2025-09-02,132.555,12036.2407,2025-10-01,171.4,467547.79,29.3,21
INSM,2025-09-02,145.3,10980.4802,2025-10-01,147.28,21741.3,1.36,21
ALNY,2025-09-02,447.0,3569.2703,2025-10-01,460.65,48720.52,3.05,21
SNDK,2025-10-01,121.12,3364.8443,2025-11-03,207.01,289006.45,70.91,23
STX,2025-10-01,256.84,6900.1984,2025-11-03,265.55,60100.67,3.39,23
MU,2025-11-03,234.7,9937.9907,2025-12-01,240.46,57242.92,2.45,19
WDC,2025-10-01,130.59,151.1288,2025-12-01,163.54,4979.69,25.23,42
SNDK,2025-10-01,121.12,748.3921,2026-01-02,275.24,115342.17,127.25,64
WDC,2025-10-01,130.59,14609.3213,2026-01-02,187.7,834338.35,43.73,64
SNDK,2025-10-01,121.12,3443.1065,2026-02-02,665.24,1873463.06,449.24,84
LITE,2025-12-01,317.93,3712.3802,2026-03-02,783.25,1727444.78,146.36,61
MU,2026-01-02,315.42,14353.992,2026-04-01,367.85,752579.7,16.62,61
SNDK,2025-10-01,121.12,9568.1688,2026-04-01,692.73,5469260.74,471.94,125
LITE,2025-12-01,317.93,7562.671,2026-04-01,764.65,3378396.64,140.51,83
