symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
PLTR,2024-07-17,27.8681,13094.5808,2024-07-23,28.4273,7322.49,2.01,4
ALNY,2024-07-24,230.6535,1611.2761,2024-07-30,236.2451,9009.61,2.42,4
ARM,2024-05-30,120.8784,3283.6304,2024-08-06,115.0372,-19180.34,-4.83,46
TSLA,2024-07-31,227.2586,1672.3042,2024-08-06,199.8697,-45802.57,-12.05,4
WMT,2024-08-07,67.6184,5256.2641,2024-08-13,68.3373,3778.73,1.06,4
TMUS,2024-08-14,194.4778,1844.0287,2024-08-20,196.7045,4106.1,1.14,4
MELI,2024-08-21,2006.6555,180.4728,2024-08-27,1997.0,-1742.56,-0.48,4
NVDA,2024-02-28,77.5725,11219.5178,2024-09-04,104.9024,306628.3,35.23,126
MSTR,2024-08-28,136.8944,2628.4939,2024-09-04,120.1295,-44066.44,-12.25,4
WMT,2024-09-05,77.214,9650.6046,2024-09-24,80.1796,28619.83,3.84,13
MELI,2024-09-05,1987.015,375.0157,2024-09-24,2109.491,45930.42,6.16,13
TSLA,2024-09-25,252.0314,3099.5504,2024-10-08,243.1647,-27482.78,-3.52,9
MSTR,2024-10-09,188.9661,3982.1655,2024-12-31,315.0666,502153.06,66.73,51
TSLA,2025-01-02,389.5946,3215.2384,2025-01-07,405.5209,51206.85,4.09,3
MSTR,2025-01-08,331.0027,3932.7772,2025-02-11,331.502,1963.64,0.15,22
SHOP,2025-02-12,118.6717,10968.3877,2025-02-19,127.808,100210.48,7.7,4
MSTR,2025-02-20,322.1161,4345.0313,2025-02-25,266.3299,-242392.78,-17.32,3
SHOP,2025-02-26,111.2528,10384.9943,2025-03-04,103.2548,-83059.18,-7.19,4
PLTR,2024-08-07,26.8397,13242.3301,2025-03-11,75.5465,644991.52,181.47,141
APP,2024-09-25,127.9578,6105.0129,2025-03-11,237.1437,666581.32,85.33,107
TMUS,2025-03-05,260.7781,4105.3455,2025-03-11,258.3818,-9837.64,-0.92,4
MSTR,2025-05-14,419.3799,2784.5142,2025-05-28,368.9058,-140545.85,-12.04,9
APP,2025-05-14,371.9412,3139.661,2025-06-10,387.9272,50190.62,4.3,18
AVGO,2025-05-29,245.0918,4184.4696,2025-06-17,250.4437,22394.86,2.18,13
CRWD,2025-06-18,488.616,2141.3475,2025-06-24,491.262,5666.01,0.54,3
AVGO,2025-06-25,265.2714,3959.2615,2025-07-01,273.6888,33326.69,3.17,3
CRWD,2025-07-02,488.4662,2214.8332,2025-07-08,506.2395,39364.89,3.64,2
ZS,2025-06-11,296.5545,4100.4629,2025-07-15,291.0727,-22477.92,-1.85,20
MU,2025-07-09,124.8923,8963.2547,2025-07-22,112.7506,-108829.15,-9.72,9
MSTR,2025-07-16,446.5292,2668.6333,2025-07-22,428.5661,-47936.93,-4.02,4
WBD,2025-07-23,12.8806,83491.8395,2025-08-05,12.8806,0.0,0.0,9
PLTR,2025-05-14,128.7166,9072.4061,2025-08-26,156.0455,247938.88,21.23,69
NVDA,2025-08-06,176.7844,6073.5205,2025-09-03,169.9047,-41784.0,-3.89,19
SHOP,2025-08-27,141.9667,9956.1575,2025-09-03,139.4804,-24753.99,-1.75,4
AMD,2025-07-23,156.4449,6874.1454,2025-09-09,150.8334,-38574.27,-3.59,33
PLTR,2025-09-04,154.5678,7817.717,2025-09-09,155.736,9132.66,0.76,3
GOOGL,2025-09-04,231.0928,5228.9267,2025-09-16,251.0229,104213.03,8.62,8
AVGO,2025-09-10,338.6213,3323.392,2025-09-23,338.6912,232.31,0.02,9
APP,2025-09-10,564.3121,1994.2357,2025-10-07,593.8578,58921.09,5.24,19
WBD,2025-09-17,18.1527,72192.0104,2025-10-07,18.9914,60547.44,4.62,14
MU,2025-10-08,186.1803,6851.505,2025-11-11,252.6205,455215.36,35.69,23
WDC,2025-09-24,110.5738,10163.3668,2025-12-09,169.6551,600464.93,53.43,52
WBD,2025-12-10,28.2076,61029.9493,2025-12-23,28.7767,34732.14,2.02,8
WDC,2025-12-24,177.733,9865.5332,2026-01-06,187.658,97915.42,5.58,7
MU,2026-01-07,344.2828,5368.7969,2026-01-13,345.3113,5521.81,0.3,4
WDC,2026-01-14,213.6989,8661.4408,2026-01-21,222.6854,77836.04,4.21,4
LITE,2025-11-12,261.597,6605.8154,2026-01-27,339.49,514546.78,29.78,49
MU,2026-01-22,391.1124,4923.6251,2026-02-10,382.1858,-43951.23,-2.28,12
WDC,2026-01-28,252.6205,8863.1801,2026-03-03,270.1499,155366.23,6.94,22
SNDK,2025-10-08,121.128,10531.1344,2026-03-24,689.0,5980336.38,468.82,111
LITE,2026-02-11,560.3881,3352.5502,2026-03-24,730.8901,571616.51,30.43,28
MU,2026-03-04,377.0,6341.0007,2026-03-24,403.8501,170256.5,7.12,14
WDC,2026-04-15,363.5,11231.0806,2026-05-12,513.17,1680955.84,41.17,19
