symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
FAST,2019-10-22,18.685,44.1991,2020-01-31,17.44,-55.03,-6.66,69
AAPL,2019-10-01,56.1475,14.2737,2020-02-27,68.38,174.6,21.79,102
AMD,2020-01-02,49.1,17.6628,2020-02-27,44.01,-89.9,-10.37,38
TSLA,2020-01-31,43.3713,20.0037,2020-02-27,45.2667,37.91,4.37,18
WMT,2020-03-10,39.93,20.9662,2020-03-11,38.1433,-37.46,-4.47,1
FER,2019-09-27,29.4,27.605,2020-03-12,22.5906,-187.97,-23.16,114
GILD,2020-03-02,75.4,11.148,2020-06-11,72.84,-28.54,-3.4,71
REGN,2020-03-02,464.75,1.8086,2020-09-01,592.68,231.38,27.53,128
NFLX,2020-04-13,39.672,20.1285,2020-09-17,47.02,147.9,18.52,110
MELI,2020-06-12,896.43,1.0592,2020-09-17,980.15,88.68,9.34,67
PDD,2020-04-09,41.04,19.293,2020-09-23,76.64,686.83,86.74,115
CHTR,2020-09-22,633.05,1.5478,2020-10-26,582.13,-78.81,-8.04,24
AEP,2020-10-26,93.59,10.4068,2020-11-18,84.13,-98.45,-10.11,17
TRI,2020-09-28,83.2295,11.6451,2021-01-11,82.7414,-5.68,-0.59,72
CPRT,2020-09-28,26.54,36.5191,2021-01-25,28.225,61.53,6.35,81
AMD,2020-09-01,92.18,12.4018,2021-01-29,85.64,-81.11,-7.09,103
MSTR,2020-11-18,21.296,45.0986,2021-02-10,97.448,3434.35,357.59,56
TSLA,2021-01-25,293.6,4.4882,2021-02-23,232.9467,-272.23,-20.66,20
AXON,2021-02-10,187.98,8.8787,2021-02-24,161.45,-235.55,-14.11,9
SHOP,2021-02-10,146.242,11.4127,2021-03-04,114.944,-357.2,-21.4,15
WBD,2021-02-10,45.07,37.0318,2021-03-25,57.75,469.56,28.13,30
MAR,2021-02-23,149.55,10.9223,2021-05-12,135.94,-148.65,-9.1,55
FANG,2021-01-11,58.3,21.5923,2021-07-16,78.36,433.14,34.41,129
FER,2021-05-12,30.2,54.3893,2021-08-19,29.1344,-57.96,-3.53,69
CMCSA,2021-03-05,51.6307,33.3945,2021-09-14,52.0993,15.65,0.91,133
CSCO,2021-03-25,50.51,32.3243,2021-09-30,54.43,126.71,7.76,131
ASML,2021-09-14,888.07,1.9129,2021-10-01,741.81,-279.78,-16.47,13
ALNY,2021-07-16,177.54,9.3444,2021-10-28,162.14,-143.9,-8.67,73
BKR,2021-10-01,25.18,64.368,2021-11-19,22.55,-169.29,-10.44,35
MPWR,2021-08-19,467.22,3.6658,2021-12-13,480.01,46.89,2.74,80
TSLA,2021-10-28,359.0133,4.5868,2021-12-13,322.1367,-169.15,-10.27,31
NFLX,2021-09-30,61.034,26.4605,2021-12-14,59.799,-32.68,-2.02,52
NVDA,2021-11-19,32.985,49.9048,2022-01-13,26.575,-319.89,-19.43,37
LITE,2021-12-14,102.59,13.9961,2022-02-03,86.37,-227.02,-15.81,35
XEL,2021-12-13,67.46,21.3356,2022-02-16,65.94,-32.43,-2.25,45
PEP,2021-12-13,169.81,8.4759,2022-02-24,163.79,-51.03,-3.55,50
CTSH,2022-02-09,91.69,15.6183,2022-04-12,86.09,-87.46,-6.11,43
VRTX,2021-12-14,209.24,6.8622,2022-05-09,235.02,176.91,12.32,100
EXC,2022-03-29,46.99,30.3423,2022-06-13,43.68,-100.43,-7.04,52
AEP,2022-03-29,98.69,14.4471,2022-06-13,93.01,-82.06,-5.76,52
SHOP,2023-01-26,48.33,27.6366,2023-02-21,41.42,-190.97,-14.3,17
