date,equity,held
2021-08-13,1018504.0658787373,1
2021-08-16,1020286.2616589959,1
2021-08-17,993475.6705287679,1
2021-08-18,964585.791664765,1
2021-08-19,978325.286015848,1
2021-08-20,1008551.9600237279,1
2021-08-23,1053483.914525511,1
2021-08-24,1063881.1837230097,1
2021-08-25,1065069.670184021,1
2021-08-26,1047022.7577712642,1
2021-08-27,1077620.737397566,1
2021-08-30,1113343.3159281306,1
2021-08-31,1110224.2063570488,1
2021-09-01,1116314.235463293,1
2021-09-02,1114754.7400012251,1
2021-09-03,1124780.525609882,1
2021-09-07,1129385.2135954916,1
2021-09-08,1117799.2206430892,1
2021-09-09,1105842.2186896303,1
2021-09-10,1080962.6659337848,1
2021-09-13,1078512.0132581147,1
2021-09-14,1069228.720239356,1
2021-09-15,1092919.7865341902,1
2021-09-16,1095073.4659032903,1
2021-09-17,1056380.0864845095,1
2021-09-20,991396.3234715199,1
2021-09-21,992658.9049504908,1
2021-09-22,1021697.4484381981,1
2021-09-23,1050067.4757070208,1
2021-09-24,1053038.0393013444,1
2021-09-27,1027638.812920738,1
2021-09-28,941934.0726194527,1
2021-09-29,935695.6161833965,1
2021-09-30,925149.6230387203,1
2021-10-01,942008.2862843584,1
2021-10-04,884079.6859622287,1
2021-10-05,918094.2823774405,1
2021-10-06,936215.645748996,1
2021-10-07,961540.6584646964,1
2021-10-08,946761.4609232526,1
2021-10-11,925743.8662692258,1
2021-10-12,916311.7899798163,1
2021-10-13,937775.2005345367,1
2021-10-14,989539.6767324625,1
2021-10-15,1007883.6217752625,1
2021-10-18,1038110.2364596691,1
2021-10-19,1060910.620128686,1
2021-10-20,1057568.4542985745,1
2021-10-21,1076506.64257188,1
2021-10-22,1049250.4728348507,1
2021-10-25,1080739.9656155938,1
2021-10-26,1090840.142859576,1
2021-10-27,1099455.216276816,1
2021-10-28,1135549.159749276,1
2021-10-29,1152334.0245943202,1
2021-11-01,1163696.8426407466,1
2021-11-02,1179218.354801669,1
2021-11-03,1216649.3307118984,1
2021-11-04,1262026.9231439559,1
2021-11-05,1266705.7654709981,1
2021-11-08,1261507.130872249,1
2021-11-09,1235513.4832907175,1
2021-11-10,1181372.3901116082,1
2021-11-11,1190952.7750838832,1
2021-11-12,1228755.115936008,1
2021-11-15,1228383.6323471665,1
2021-11-16,1253783.2146686115,1
2021-11-17,1255268.4371423002,1
2021-11-18,1293664.7246075647,1
2021-11-19,1315573.832416033,1
2021-11-22,1269973.421018838,1
2021-11-23,1252668.882549033,1
2021-11-24,1264254.8755014355,1
2021-11-26,1194517.759879132,1
2021-11-29,1268710.780216394,1
2021-11-30,1214198.559389282,1
2021-12-01,1151888.1493701534,1
2021-12-02,1173574.3195665379,1
2021-12-03,1114606.0753775209,1
2021-12-06,1140673.7586535388,1
2021-12-07,1243534.2541539783,1
2021-12-08,1260838.5553298905,1
2021-12-09,1206400.726138104,1
2021-12-10,1243756.8358252228,1
2021-12-13,1190284.5554823638,1
2021-12-14,1154859.0689053154,1
2021-12-15,1231280.160247003,1
2021-12-16,1137331.8301173195,1
2021-12-17,1119953.3745999744,1
2021-12-20,1086458.39248605,1
2021-12-21,1159092.2733020831,1
2021-12-22,1200459.005714725,1
2021-12-23,1228977.8162541983,1
2021-12-27,1287723.3601250246,1
2021-12-28,1272572.7383182123,1
2021-12-29,1270567.6049258702,1
2021-12-30,1258684.638666898,1
2021-12-31,1235290.4270316872,1
2022-01-03,1270938.732573873,1
2022-01-04,1221550.9920040774,1
2022-01-05,1109184.3845197414,1
2022-01-06,1106139.4292900926,1
2022-01-07,1069971.0941823071,1
2022-01-10,1073907.5625663975,1
2022-01-11,1121141.5051201463,1
2022-01-12,1133915.3912988286,1
2022-01-13,1051627.0898160338,1
2022-01-14,1067520.4415066366,1
2022-01-18,990579.4392462956,1
2022-01-19,956119.2049008093,1
2022-01-20,919133.9262443276,1
2022-01-21,918398.6191033319,0
2022-01-24,918398.6191033319,0
2022-01-25,918398.6191033319,0
2022-01-26,918398.6191033319,0
2022-01-27,918398.6191033319,0
2022-01-28,918398.6191033319,0
2022-01-31,918398.6191033319,0
2022-02-01,918398.6191033319,0
2022-02-02,918398.6191033319,0
2022-02-03,807171.3131743416,1
2022-02-04,806525.5761238021,0
2022-02-07,806525.5761238021,0
2022-02-08,806525.5761238021,0
2022-02-09,806525.5761238021,0
2022-02-10,752368.0735532689,1
2022-02-11,751766.1790944262,0
2022-02-14,751766.1790944262,0
2022-02-15,751766.1790944262,0
2022-02-16,751766.1790944262,0
2022-02-17,751766.1790944262,0
2022-02-18,751766.1790944262,0
2022-02-22,751766.1790944262,0
2022-02-23,751766.1790944262,0
2022-02-24,751766.1790944262,0
2022-02-25,751766.1790944262,0
2022-02-28,751766.1790944262,0
2022-03-01,751766.1790944262,0
2022-03-02,751766.1790944262,0
2022-03-03,751766.1790944262,0
2022-03-04,751766.1790944262,0
2022-03-07,751766.1790944262,0
2022-03-08,751766.1790944262,0
2022-03-09,751766.1790944262,0
2022-03-10,751766.1790944262,0
2022-03-11,751766.1790944262,0
2022-03-14,751766.1790944262,0
2022-03-15,751766.1790944262,0
2022-03-16,751766.1790944262,0
2022-03-17,751766.1790944262,0
2022-03-18,751766.1790944262,0
2022-03-21,751766.1790944262,0
2022-03-22,751766.1790944262,0
2022-03-23,751766.1790944262,0
2022-03-24,751766.1790944262,0
2022-03-25,751766.1790944262,0
2022-03-28,751766.1790944262,0
2022-03-29,751766.1790944262,0
2022-03-30,728576.8867903361,1
2022-03-31,727994.0252809038,0
2022-04-01,727994.0252809038,0
2022-04-04,727994.0252809038,0
2022-04-05,679273.0467447735,1
2022-04-06,678729.6283073777,0
2022-04-07,678729.6283073777,0
2022-04-08,678729.6283073777,0
2022-04-11,678729.6283073777,0
2022-04-12,678729.6283073777,0
2022-04-13,678729.6283073777,0
2022-04-14,678729.6283073777,0
2022-04-18,678729.6283073777,0
2022-04-19,678729.6283073777,0
2022-04-20,678729.6283073777,0
2022-04-21,678729.6283073777,0
2022-04-22,678729.6283073777,0
2022-04-25,678729.6283073777,0
2022-04-26,678729.6283073777,0
2022-04-27,678729.6283073777,0
2022-04-28,678729.6283073777,0
2022-04-29,678729.6283073777,0
2022-05-02,678729.6283073777,0
2022-05-03,678729.6283073777,0
2022-05-04,678729.6283073777,0
2022-05-05,678729.6283073777,0
2022-05-06,678729.6283073777,0
2022-05-09,678729.6283073777,0
2022-05-10,678729.6283073777,0
2022-05-11,678729.6283073777,0
2022-05-12,678729.6283073777,0
2022-05-13,678729.6283073777,0
2022-05-16,678729.6283073777,0
2022-05-17,678729.6283073777,0
2022-05-18,678729.6283073777,0
2022-05-19,678729.6283073777,0
2022-05-20,678729.6283073777,0
2022-05-23,678729.6283073777,0
2022-05-24,678729.6283073777,0
2022-05-25,678729.6283073777,0
2022-05-26,678729.6283073777,0
2022-05-27,678729.6283073777,0
2022-05-31,678729.6283073777,0
2022-06-01,678729.6283073777,0
2022-06-02,678729.6283073777,0
2022-06-03,678729.6283073777,0
2022-06-06,678729.6283073777,0
2022-06-07,678729.6283073777,0
2022-06-08,678729.6283073777,0
2022-06-09,678729.6283073777,0
2022-06-10,678729.6283073777,0
2022-06-13,678729.6283073777,0
2022-06-14,678729.6283073777,0
2022-06-15,678729.6283073777,0
2022-06-16,678729.6283073777,0
2022-06-17,678729.6283073777,0
2022-06-21,678729.6283073777,0
2022-06-22,678729.6283073777,0
2022-06-23,678729.6283073777,0
2022-06-24,678729.6283073777,0
2022-06-27,678729.6283073777,0
