symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
PLTR,2024-08-01,26.08,220.4571,2024-12-02,66.39,8886.62,154.56,85
MSTR,2024-11-01,229.71,68.1332,2024-12-02,380.3,10260.18,65.56,20
ASTS,2024-09-03,29.41,6580.9938,2024-12-02,23.22,-40736.35,-21.05,63
PLTR,2024-08-01,26.08,386.8707,2025-01-02,75.19,18999.22,188.31,106
AXON,2024-12-02,636.39,367.6064,2025-01-02,596.49,-14667.5,-6.27,21
SOFI,2024-11-01,11.04,14704.0257,2025-01-02,14.13,45435.44,27.99,41
ALAB,2024-12-02,103.39,510.7836,2025-01-02,134.63,15956.88,30.22,21
ALAB,2024-12-02,103.39,1751.9212,2025-02-03,98.12,-9232.62,-5.1,41
APP,2024-09-03,88.13,21.6009,2025-02-03,365.44,5990.16,314.66,104
PLTR,2024-08-01,26.08,219.5651,2025-02-03,83.74,12660.12,221.09,126
MSTR,2024-11-01,229.71,786.1776,2025-02-03,347.09,92281.52,51.1,61
CRDO,2025-01-02,70.93,3325.2665,2025-02-03,71.81,2926.23,1.24,20
RKLB,2025-01-02,24.96,841.5674,2025-02-03,28.38,2878.16,13.7,20
APP,2024-09-03,88.13,105.1589,2025-03-03,337.34,26206.64,282.78,123
HOOD,2025-02-03,51.9,654.2286,2025-03-03,46.89,-3277.69,-9.65,19
PLTR,2024-08-01,26.08,639.241,2025-03-03,83.42,36654.08,219.86,145
LUNR,2025-02-03,21.7,11257.8331,2025-03-03,13.46,-92764.55,-37.97,19
PLTR,2024-08-01,26.08,2278.0625,2025-04-01,84.68,133494.46,224.69,166
APP,2024-09-03,88.13,563.3366,2025-04-01,282.7,109608.41,220.78,144
HOOD,2025-02-03,51.9,4052.8038,2025-04-01,42.16,-39474.32,-18.77,40
FUTU,2025-03-03,103.74,1831.8486,2025-04-01,103.37,-677.78,-0.36,21
RGTI,2025-02-03,13.47,24679.9962,2025-04-01,7.81,-139688.79,-42.02,40
RKLB,2025-01-02,24.96,10184.1354,2025-04-01,18.15,-69353.96,-27.28,60
AVGO,2025-06-02,248.71,729.5472,2025-07-01,264.74,11694.63,6.45,20
HOOD,2025-06-02,67.98,449.5423,2025-07-01,92.33,10946.35,35.82,20
PLTR,2025-06-02,132.04,1374.1722,2025-07-01,130.68,-1868.88,-1.03,20
NBIS,2025-06-02,36.02,963.972,2025-07-01,50.31,13775.16,39.67,20
RGTI,2025-06-02,12.26,14799.8115,2025-07-01,11.33,-13763.83,-7.59,20
ZS,2025-06-02,293.18,618.8884,2025-07-01,307.32,8751.09,4.82,20
AVAV,2025-07-01,252.4,811.934,2025-08-01,260.07,6227.54,3.04,22
NVTS,2025-07-01,6.27,32684.5504,2025-08-01,7.96,55236.89,26.95,22
NBIS,2025-06-02,36.02,4073.3875,2025-08-01,52.0,65092.73,44.36,42
CRDO,2025-07-01,87.59,180.3454,2025-08-01,107.56,3601.5,22.8,22
ASTS,2025-07-01,45.11,115.6167,2025-08-01,52.46,849.78,16.29,22
SMCI,2025-08-01,56.64,4100.5915,2025-09-02,40.78,-65035.38,-28.0,21
IREN,2025-08-01,15.4,5881.7101,2025-09-02,29.11,80638.25,89.03,21
HOOD,2025-06-02,67.98,2324.8998,2025-09-02,100.84,76396.19,48.34,63
APLD,2025-08-01,12.52,18550.9177,2025-09-02,15.26,50829.51,21.88,21
CRDO,2025-07-01,87.59,4.2606,2025-09-02,124.27,156.28,41.88,43
ASTS,2025-07-01,45.11,4427.3256,2025-09-02,48.76,16159.73,8.09,43
IREN,2025-08-01,15.4,1789.5564,2025-10-01,47.08,56693.15,205.71,42
CRDO,2025-07-01,87.59,2155.0691,2025-10-01,144.91,123528.58,65.44,64
WULF,2025-09-02,9.63,27810.0135,2025-10-01,11.47,51170.43,19.11,21
NBIS,2025-09-02,65.72,1057.2797,2025-10-01,115.61,52747.69,75.91,21
ALAB,2025-09-02,174.24,1537.0203,2025-10-01,194.5,31140.02,11.63,21
RKLB,2025-09-02,49.31,5431.1585,2025-10-01,47.97,-7277.75,-2.72,21
IREN,2025-08-01,15.4,956.6311,2025-11-03,67.75,50079.64,339.94,65
KTOS,2025-10-01,92.96,3753.0245,2025-11-03,91.1,-6980.63,-2.0,23
CIFR,2025-10-01,12.6,8477.9897,2025-11-03,22.76,86136.37,80.63,23
SATS,2025-10-01,79.5,4388.4422,2025-11-03,75.37,-18124.25,-5.19,23
NBIS,2025-09-02,65.72,3017.742,2025-11-03,120.47,165221.37,83.31,44
RGTI,2025-10-01,29.85,11687.8107,2025-11-03,39.12,108345.99,31.06,23
WULF,2025-11-03,16.1,4044.5409,2025-12-01,15.3,-3235.63,-4.97,19
APLD,2025-11-03,32.87,13302.1645,2025-12-01,28.21,-61988.08,-14.18,19
NVTS,2025-11-03,12.25,35693.2355,2025-12-01,8.3,-140988.27,-32.24,19
CIFR,2025-10-01,12.6,1250.8921,2025-12-01,19.69,8868.83,56.27,42
HUT,2025-11-03,55.0,7949.857,2025-12-01,43.57,-90866.87,-20.78,19
IREN,2025-08-01,15.4,7292.933,2026-01-02,42.7,199097.08,177.27,106
MU,2025-12-01,240.46,293.4256,2026-01-02,315.42,21995.19,31.17,22
WDC,2025-12-01,163.54,184.0956,2026-01-02,187.7,4447.75,14.77,22
