date,action,symbol,price,shares
2022-01-19,SELL,AMD,130.9559,2754.3896
2022-01-19,SELL,QCOM,167.1523,1705.9903
2022-01-20,BUY,MU,85.552,3768.628
2022-01-20,BUY,KLAC,38.4468,8385.9665
2022-01-25,SELL,MU,81.1774,3768.628
2022-01-26,BUY,QCOM,161.8509,1887.1452
2022-02-01,SELL,TSLA,303.8517,1038.0453
2022-02-01,SELL,KLAC,38.9233,8385.9665
2022-02-02,BUY,AAPL,169.6393,1888.6867
2022-02-02,BUY,PANW,79.5039,4029.9366
2022-02-15,SELL,QCOM,167.6659,1887.1452
2022-02-15,SELL,AAPL,166.9092,1888.6867
2022-02-16,BUY,MU,96.6043,3264.0144
2022-02-16,BUY,DDOG,157.4401,2002.7787
2022-02-23,SELL,PANW,74.5423,4029.9366
2022-02-23,SELL,DDOG,135.2797,2002.7787
2022-02-24,BUY,BKNG,91.9093,3103.1618
2022-02-24,BUY,AVGO,56.3692,5059.6673
2022-03-01,SELL,BKNG,82.9786,3103.1618
2022-03-02,BUY,PANW,90.8442,2829.9285
2022-03-08,SELL,MU,77.5972,3264.0144
2022-03-09,BUY,AMGN,229.3991,1102.3207
2022-03-15,SELL,AVGO,57.6093,5059.6673
2022-03-16,BUY,COST,470.2073,618.9097
2022-03-22,SELL,AMGN,234.3645,1102.3207
2022-03-23,BUY,CSX,35.3078,7305.1737
2022-03-29,SELL,COST,493.2162,618.9097
2022-03-29,SELL,CSX,36.5595,7305.1737
2022-03-30,BUY,TSLA,356.9511,800.4046
2022-03-30,BUY,NVDA,27.1395,10527.2715
2022-04-12,SELL,TSLA,322.0257,800.4046
2022-04-12,SELL,NVDA,21.0765,10527.2715
2022-04-13,BUY,COST,511.4832,468.1075
2022-04-13,BUY,AMGN,251.2528,952.941
2022-05-03,SELL,COST,457.7026,468.1075
2022-05-03,SELL,AMGN,230.1226,952.941
2022-05-04,BUY,TMUS,130.8086,1654.5166
2022-05-04,BUY,WMT,42.3646,5108.6336
2022-05-10,SELL,PANW,75.5458,2829.9285
2022-05-10,SELL,TMUS,121.5492,1654.5166
2022-05-11,BUY,AMGN,238.4974,868.4102
2022-05-11,BUY,PEP,158.9916,1302.6699
2022-05-18,SELL,WMT,42.6107,5108.6336
2022-05-19,BUY,MDLZ,60.1358,3614.0276
2022-05-24,SELL,MDLZ,61.6844,3614.0276
2022-05-25,BUY,TMUS,129.1137,1723.8351
2022-06-01,SELL,PEP,168.0986,1302.6699
2022-06-02,BUY,WMT,41.8048,5229.6602
2022-06-07,SELL,WMT,40.313,5229.6602
2022-06-08,BUY,BKNG,91.9576,2288.9271
2022-06-14,SELL,TMUS,124.7676,1723.8351
2022-06-14,SELL,BKNG,79.2086,2288.9271
2022-06-15,BUY,PEP,157.8578,1253.4819
2022-06-15,BUY,EA,127.6051,1550.6581
2022-06-22,SELL,PEP,158.6571,1253.4819
2022-06-22,SELL,EA,128.2445,1550.6581
2022-06-23,BUY,WMT,40.5228,4899.6776
2022-06-23,BUY,KDP,34.9885,5674.6832
2022-07-06,SELL,WMT,41.4552,4899.6776
2022-07-06,SELL,KDP,36.2873,5674.6832
2022-07-13,BUY,COST,483.3646,422.4328
2022-07-13,BUY,CRWD,170.4165,1198.1766
2022-07-19,SELL,CRWD,179.868,1198.1766
2022-07-20,BUY,EXC,43.7906,4913.5449
2022-07-26,SELL,AMGN,249.1655,868.4102
2022-07-26,SELL,EXC,44.5099,4913.5449
2022-07-27,BUY,CDNS,171.5355,1266.151
2022-07-27,BUY,CTAS,99.7976,2176.3033
2022-08-02,SELL,CTAS,105.4076,2176.3033
2022-08-03,BUY,ADP,240.9729,950.4395
2022-08-16,SELL,COST,550.8138,422.4328
2022-08-16,SELL,ADP,258.0475,950.4395
2022-08-17,BUY,AXON,130.8821,1822.9088
2022-08-17,BUY,CRWD,196.1133,1216.5729
2022-08-23,SELL,AXON,126.3961,1822.9088
2022-08-23,SELL,CRWD,191.1678,1216.5729
2022-08-24,BUY,ADP,255.9194,903.085
2022-08-24,BUY,COST,541.5222,426.7913
2022-08-30,SELL,CDNS,174.9624,1266.151
2022-08-30,SELL,ADP,247.8767,903.085
2022-08-30,SELL,COST,533.5294,426.7913
2022-09-14,BUY,GILD,64.3234,3482.4351
2022-09-14,BUY,CTAS,102.0092,2195.9006
