symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
NVDA,2024-08-21,127.0292,4881.5174,2024-08-29,120.7087,-30853.63,-4.98,6
PLTR,2024-09-18,35.966,16357.048,2024-09-24,37.4537,24334.38,4.14,4
APP,2024-09-25,127.9578,4780.0958,2025-01-13,306.7591,854687.34,139.73,68
APP,2025-01-23,353.6088,4140.1448,2025-01-28,348.0271,-23109.05,-1.58,3
PLTR,2025-02-12,110.2643,13046.6253,2025-02-19,124.443,184984.19,12.86,4
APP,2025-02-20,488.2764,3319.7664,2025-02-25,402.685,-284143.45,-17.53,3
PLTR,2025-05-14,128.7166,10369.1437,2025-08-19,173.5093,464461.94,34.8,64
AMD,2025-08-20,165.4314,10858.0628,2025-09-03,161.9067,-38271.41,-2.13,9
PLTR,2025-09-04,154.5678,11355.409,2025-09-09,155.736,13265.39,0.76,3
AVGO,2025-09-10,338.6213,5214.1337,2025-09-16,363.9931,132291.96,7.49,4
APP,2025-09-17,601.5563,3149.9503,2025-09-23,638.6406,116813.7,6.16,4
WDC,2025-09-24,110.5738,18164.05,2025-10-07,126.5898,290915.42,14.48,9
SNDK,2025-10-08,121.128,18952.7226,2025-11-18,255.6359,2549290.92,111.05,28
SNDK,2025-12-03,196.1054,24666.5748,2025-12-16,202.1762,149745.84,3.1,8
SNDK,2025-12-24,246.1602,20226.7448,2026-01-02,244.942,-24640.22,-0.49,5
SNDK,2026-01-07,340.7381,14516.8875,2026-01-21,460.1887,1734050.92,35.06,9
SNDK,2026-01-28,499.4696,13353.8163,2026-02-04,648.7554,1993535.15,29.89,5
