date,action,symbol,price,shares
2023-05-23,SELL,APP,24.7728,38853.9473
2023-05-24,BUY,META,244.9021,3923.9364
2023-05-31,SELL,META,259.59,3923.9364
2023-06-01,BUY,PLTR,14.3584,70828.5164
2023-06-21,SELL,PLTR,15.6864,70828.5164
2023-06-22,BUY,NVDA,42.1846,26295.5247
2023-07-11,SELL,NVDA,42.4043,26295.5247
2023-07-12,BUY,PLTR,16.6949,66682.5604
2023-07-18,SELL,PLTR,17.7334,66682.5604
2023-07-19,BUY,NVDA,47.4098,24902.3623
2023-07-25,SELL,NVDA,44.8646,24902.3623
2023-07-26,BUY,PLTR,16.3954,68034.1058
2023-08-14,SELL,PLTR,15.0873,68034.1058
2023-08-16,BUY,NVDA,44.3853,23088.9046
2023-08-17,SELL,NVDA,43.8951,23088.9046
2023-09-07,BUY,NVDA,45.3079,22333.136
2023-09-18,SELL,NVDA,42.597,22333.136
2023-10-18,BUY,PLTR,17.7733,53439.8053
2023-10-19,SELL,PLTR,17.4039,53439.8053
2023-11-08,BUY,PLTR,18.7418,49545.5144
2023-11-28,SELL,PLTR,19.1912,49545.5144
2023-11-29,BUY,PDD,139.121,6823.6697
2024-01-17,SELL,PDD,136.3352,6823.6697
2024-01-18,BUY,CRWD,281.8067,3295.9368
2024-03-05,SELL,CRWD,305.1217,3295.9368
2024-03-06,BUY,NVDA,87.7282,11445.0322
2024-03-26,SELL,NVDA,95.5564,11445.0322
2024-03-27,BUY,MSTR,195.2098,5593.4468
2024-04-05,SELL,MSTR,156.7655,5593.4468
2024-04-10,BUY,MSTR,138.2873,6330.7016
2024-04-16,SELL,MSTR,130.1565,6330.7016
2024-05-08,BUY,NVDA,89.3058,9211.7494
2024-07-09,SELL,NVDA,130.2543,9211.7494
2024-07-10,BUY,ARM,182.7355,6555.6486
2024-07-16,SELL,ARM,179.5403,6555.6486
2024-07-17,BUY,NVDA,120.9783,9713.4727
2024-07-23,SELL,NVDA,122.7556,9713.4727
2024-07-24,BUY,ARM,165.8409,7178.4155
2024-07-25,SELL,ARM,150.7735,7178.4155
2024-08-21,BUY,NVDA,127.0292,8506.5678
2024-08-29,SELL,NVDA,120.7087,8506.5678
2024-09-18,BUY,PLTR,35.966,28503.9524
2024-09-24,SELL,PLTR,37.4537,28503.9524
2024-09-25,BUY,APP,127.9578,8329.8535
2025-01-13,SELL,APP,306.7591,8329.8535
2025-01-23,BUY,APP,353.6088,7214.6712
2025-01-28,SELL,APP,348.0271,7214.6712
2025-02-12,BUY,PLTR,110.2643,22735.2357
2025-02-19,SELL,PLTR,124.443,22735.2357
2025-02-20,BUY,APP,488.2764,5785.0754
2025-02-25,SELL,APP,402.685,5785.0754
2025-05-14,BUY,PLTR,128.7166,18069.439
2025-08-19,SELL,PLTR,173.5093,18069.439
2025-08-20,BUY,AMD,165.4314,18921.4465
2025-09-03,SELL,AMD,161.9067,18921.4465
2025-09-04,BUY,PLTR,154.5678,19788.14
2025-09-09,SELL,PLTR,155.736,19788.14
2025-09-10,BUY,AVGO,338.6213,9086.2475
2025-09-16,SELL,AVGO,363.9931,9086.2475
2025-09-17,BUY,APP,601.5563,5489.1652
2025-09-23,SELL,APP,638.6406,5489.1652
2025-09-24,BUY,WDC,110.5738,31653.0432
2025-10-07,SELL,WDC,126.5898,31653.0432
2025-10-08,BUY,SNDK,121.128,33027.4124
2025-11-18,SELL,SNDK,255.6359,33027.4124
2025-12-03,BUY,SNDK,196.1054,42984.4987
2025-12-16,SELL,SNDK,202.1762,42984.4987
2025-12-24,BUY,SNDK,246.1602,35247.5624
2026-01-02,SELL,SNDK,244.942,35247.5624
2026-01-07,BUY,SNDK,340.7381,25297.4461
2026-01-21,SELL,SNDK,460.1887,25297.4461
2026-01-28,BUY,SNDK,499.4696,23270.6558
2026-02-04,SELL,SNDK,648.7554,23270.6558
2026-04-15,BUY,SNDK,934.4199,16130.6772
